work,word,count,total,fpm,source_id,title,author,pub_date
283,ballad,100,81711,1223.82543354016,hvd.hw37nd,Reliques of ancient English poetry :,"Percy, Thomas, 1729-1811",1839
631,ballad,314,269861,1163.561981909205,hvd.32044089057772,Reliques of ancient English poetry:,"Percy, Thomas, 1729-1811, ed",1847
182,ballad,90,79799,1127.8336821263424,hvd.hwpaef,Reliques of ancient English poetry :,"Percy, Thomas, 1729-1811",1823
632,ballad,327,290294,1126.444225509311,hvd.32044089057764,Reliques of ancient English poetry;,"Percy, Thomas, 1729-1811",1840
819,ballad,120,110487,1086.1006272231123,ien.35556038200176,"Teaching literature in the grammar grades and high school,","Bolenius, Emma Miller",1915
1243,ballad,124,114640,1081.6468946266573,mdp.39015061869049,"Reliques of ancient English poetry,","Percy, Thomas, 1729-1811",1794
179,ballad,59,55636,1060.4644474800489,hvd.hwpaei,Reliques of ancient English poetry :,"Percy, Thomas, 1729-1811",1823
3294,ballad,128,121956,1049.558857292794,nyp.33433074840160,An introduction to poetry.,"Hubbell, Jay B. (Jay Broadus), 1885-1979",1922
1242,ballad,85,82246,1033.4849111202975,mdp.39015061869056,"Reliques of ancient English poetry,","Percy, Thomas, 1729-1811",1794
3303,ballad,80,80591,992.666674938889,nyp.33433074838057,"Ancient songs,","Ritson, Joseph, 1752-1803",1790
136,ballad,226,228191,990.3983943275589,hvd.hxe6bz,"A Study of the Metrical Use of the Inflectional E in Middle English, with Particular Reference to Chaucer and Lydgate","Babcock, Charlotte F.",1914
183,ballad,73,75156,971.3130022885731,hvd.hwpaeb,Reliques of ancient English poetry :,"Percy, Thomas, 1729-1811, ed",1844
2076,ballad,60,62418,961.2611746611555,mdp.39015002580382,"Democracy and poetry,","Gummere, Francis Barton, 1855-1919",1911
460,ballad,79,82234,960.6732008658219,hvd.32044105239875,"Reliques of ancient English poetry: consisting of old heroic ballads, songs, and other pieces of our earlier poets;","Percy, Thomas, 1729-1811",1869
282,ballad,73,76038,960.0462926431521,hvd.hw37ne,Reliques of ancient English poetry :,"Percy, Thomas, 1729-1811",1839
1718,ballad,79,82377,959.0055476650036,mdp.39015028765876,"Reliques of ancient English poetry: consisting of old heroic ballads, songs, and other pieces of our earlier poets;","Percy, Thomas, 1729-1811",1858
1833,ballad,71,74339,955.0841415676832,mdp.39015016457320,Reliques of ancient English poetry;,"Percy, Thomas, 1729-1811",1844
3306,ballad,72,75522,953.3645825057599,nyp.33433074838024,Reliques of ancient English poetry:,"Percy, Thomas, 1729-1811",1812
3646,ballad,70,75805,923.4219378668954,nyp.33433067366736,Reliques of ancient English poetry:,"Percy, Thomas, 1729-1811, ed",1823
1404,ballad,100,113562,880.5762490974093,mdp.39015053251982,"Periods of European literature,",,1897
2215,ballad,155,177569,872.9001120691112,njp.32101076201167,Dante's Verse,"Grandgent, C. H",1920
1241,ballad,66,75686,872.0238881695426,mdp.39015061869064,"Reliques of ancient English poetry,","Percy, Thomas, 1729-1811",1794
180,ballad,59,68507,861.2258601310815,hvd.hwpaeh,Reliques of ancient English poetry :,"Percy, Thomas, 1729-1811",1823
